symbol,trades,wins,losses,win_rate,total_pnl
ZM,47,28,19,59.57446808510638,1.6915429372181878
ASML,26,16,10,61.53846153846154,1.3244080321728562
ORCL,21,13,8,61.904761904761905,0.8319140197224355
CRM,21,13,8,61.904761904761905,0.7989886597447057
ROKU,36,18,18,50.0,0.7889782889667476
GOOGL,41,26,15,63.41463414634146,0.7258367304648794
GLD,26,19,7,73.07692307692307,0.5235638787610855
PYPL,21,12,9,57.14285714285714,0.5073741283020425
META,32,18,14,56.25,0.48813438287603184
SPY,20,10,10,50.0,0.4835535029787674
SAP,22,14,8,63.63636363636363,0.42623516102198744
MSFT,15,8,7,53.333333333333336,0.4220413861566401
ADBE,18,9,9,50.0,0.167289715855107
ROG,10,5,5,50.0,0.12369667878572432
EFA,16,9,7,56.25,0.1227283757240974
VTI,13,6,7,46.15384615384615,0.06386148083792692
AMD,16,7,9,43.75,0.06327095564976623
AAPL,12,6,6,50.0,0.0485872417362907
FIL,26,13,13,50.0,0.03613581867780824
EEM,12,6,6,50.0,0.02821370796204649
DOT,30,17,13,56.666666666666664,0.02088892712114998
SOL,26,14,12,53.84615384615385,0.009115219008793508
AVAX,10,6,4,60.0,0.003502316161662522
NVDA,20,11,9,55.00000000000001,0.001506194322021974
DOGE,32,17,15,53.125,5.013104289689181e-05
TRX,21,11,10,52.38095238095239,3.9119709739766106e-05
ADA,19,8,11,42.10526315789473,3.56051117997847e-05
UNI,10,3,7,30.0,-1.0700802780875217e-05
VET,12,4,8,33.33333333333333,-1.965063331421516e-05
XLM,12,5,7,41.66666666666667,-2.33016327873827e-05
MATIC,19,10,9,52.63157894736842,-2.6706929370466867e-05
XRP,19,9,10,47.368421052631575,-0.00028364709745464834
ALGO,12,4,8,33.33333333333333,-0.0007067657646865992
LINK,24,13,11,54.166666666666664,-0.0038506528990053662
ATOM,13,5,8,38.46153846153847,-0.007872531029684401
ETC,17,9,8,52.94117647058824,-0.012043570194951435
INTC,17,7,10,41.17647058823529,-0.028401117219391536
VIX,7,1,6,14.285714285714285,-0.030698972891559623
TTE,5,0,5,0.0,-0.06352462333213804
SHEL,5,0,5,0.0,-0.06464673080871583
NESN,11,4,7,36.36363636363637,-0.0656842009999169
TSLA,25,12,13,48.0,-0.09960949595073387
TLT,10,3,7,30.0,-0.11751692007928605
USO,15,5,10,33.33333333333333,-0.12000158897014426
LTC,10,3,7,30.0,-0.22744924670463298
AIR,5,0,5,0.0,-0.23186676597930914
AAVE,16,6,10,37.5,-0.23321454380886428
IWM,5,0,5,0.0,-0.25946730809204105
ETH,52,29,23,55.769230769230774,-0.29831337870355146
BTC,12,5,7,41.66666666666667,-16.28355553109098
