symbol,trades,wins,losses,win_rate,total_pnl
ASML,47,32,15,68.08510638297872,4.364728959825844
ZM,47,30,17,63.829787234042556,2.0462980258639374
BTC,10,4,6,40.0,1.3818098880570702
ORCL,19,11,8,57.89473684210527,0.7887244299582892
PYPL,22,13,9,59.09090909090909,0.7479450856184019
GOOGL,37,25,12,67.56756756756756,0.6337802831963016
MSFT,15,8,7,53.333333333333336,0.4561572736096039
CRM,12,7,5,58.333333333333336,0.4411398806941489
ROKU,26,12,14,46.15384615384615,0.3265952605505831
SAP,21,12,9,57.14285714285714,0.3178520804221355
ETH,46,24,22,52.17391304347826,0.27123103142299954
ROG,12,5,7,41.66666666666667,0.18021737848631214
AMD,15,7,8,46.666666666666664,0.13069958766075224
VTI,12,5,7,41.66666666666667,0.12381752005854935
ADBE,15,7,8,46.666666666666664,0.07020979788427706
DOT,27,17,10,62.96296296296296,0.05100460382472151
SOL,35,19,16,54.285714285714285,0.0478521847724388
AAPL,12,6,6,50.0,0.044360774856747
IWM,13,6,7,46.15384615384615,0.041503306198070744
NVDA,20,13,7,65.0,0.020387541501510065
EEM,11,5,6,45.45454545454545,0.012496801446198844
ATOM,19,10,9,52.63157894736842,0.002637097076108685
MATIC,20,10,10,50.0,6.880873097569322e-06
ADA,14,6,8,42.857142857142854,3.7190286773640684e-06
DOGE,16,6,10,37.5,1.3524240120222094e-06
UNI,13,4,9,30.76923076923077,-4.834246081258389e-06
VET,11,4,7,36.36363636363637,-2.005771581717495e-05
TRX,10,4,6,40.0,-3.682107263739865e-05
XLM,13,4,9,30.76923076923077,-5.64129414767576e-05
LINK,20,12,8,60.0,-0.00014656004948277596
ALGO,11,4,7,36.36363636363637,-0.00044331911312689095
XRP,10,2,8,20.0,-0.0009728022013218268
FIL,11,4,7,36.36363636363637,-0.0059529690022536025
AVAX,10,5,5,50.0,-0.005970609145720278
VIX,6,1,5,16.666666666666664,-0.018077226618779446
ETC,14,6,8,42.857142857142854,-0.021724301203980324
SPY,10,4,6,40.0,-0.022629156465376443
META,16,8,8,50.0,-0.035300135452404735
EFA,12,4,8,33.33333333333333,-0.03723872751266827
TSLA,12,6,6,50.0,-0.060744000208646315
INTC,11,4,7,36.36363636363637,-0.06210232194903459
TTE,10,2,8,20.0,-0.06566537474887385
SHEL,5,0,5,0.0,-0.0668558630279541
USO,18,7,11,38.88888888888889,-0.06867814284015744
LTC,13,5,8,38.46153846153847,-0.08259089969466074
NESN,5,1,4,20.0,-0.11095981256484988
TLT,10,3,7,30.0,-0.11275591732843437
GLD,13,6,7,46.15384615384615,-0.16326011513910044
AAVE,14,6,8,42.857142857142854,-0.18318718205757792
AIR,5,0,5,0.0,-0.19391242709503173
