symbol,trades,wins,losses,win_rate,total_pnl
CRM,36,24,12,66.66666666666666,2486.6190701882933
ASML,29,14,15,48.275862068965516,2293.7940015985096
META,29,15,14,51.724137931034484,1811.655512134554
GOOGL,30,20,10,66.66666666666666,1462.573802563019
SPY,29,20,9,68.96551724137932,1412.3093688674953
GLD,23,15,8,65.21739130434783,1134.4658061065677
VTI,30,20,10,66.66666666666666,723.3463306461349
AIR,38,21,17,55.26315789473685,662.6843694906919
SAP,31,16,15,51.61290322580645,641.4745189054872
ROG,31,17,14,54.83870967741935,395.02590102050794
MSFT,22,11,11,50.0,282.99663937682953
IWM,27,14,13,51.85185185185185,192.61503462074222
TLT,15,7,8,46.666666666666664,91.93118881927518
SHEL,30,13,17,43.333333333333336,89.7718218649675
NVDA,33,14,19,42.42424242424242,68.01739421653764
BTC,48,24,24,50.0,35.94417116729488
AAPL,27,14,13,51.85185185185185,34.20815980987504
ORCL,35,18,17,51.42857142857142,19.37969204711834
DOT,38,22,16,57.89473684210527,6.178752695952415
LINK,55,32,23,58.18181818181818,4.294639621994497
LTC,54,26,28,48.148148148148145,1.1263129488315582
ETH,42,19,23,45.23809523809524,0.32262988669097936
PYPL,27,13,14,48.148148148148145,0.2390049962902075
EEM,27,18,9,66.66666666666666,0.19147836645320904
ADA,59,27,32,45.76271186440678,0.18816293012351504
INTC,42,24,18,57.14285714285714,0.18320316322593688
VIX,43,17,26,39.53488372093023,0.1652729928068923
EFA,26,16,10,61.53846153846154,0.13556875930152906
ETC,63,29,34,46.03174603174603,0.0995780299634265
AMD,35,15,20,42.857142857142854,0.07411282674751235
ATOM,56,23,33,41.07142857142857,0.01444674218873973
AVAX,50,21,29,42.0,0.011500288906002007
ALGO,59,28,31,47.45762711864407,0.006444889301823969
TRX,52,26,26,50.0,0.0010760499303653377
VET,58,33,25,56.896551724137936,0.0010605724325788441
MATIC,46,19,27,41.30434782608695,9.170661276451512e-05
UNI,66,34,30,51.515151515151516,-6.257031795956953e-06
XLM,57,22,35,38.59649122807017,-0.002262038055168839
DOGE,68,34,34,50.0,-0.0022633723024227653
SOL,57,24,33,42.10526315789473,-0.004348631588430685
USO,33,14,19,42.42424242424242,-0.16216014370594012
ROKU,39,13,26,33.33333333333333,-0.21413662233543418
ZM,39,17,22,43.58974358974359,-0.23729571781814562
FIL,62,24,38,38.70967741935484,-0.2931296494266465
AAVE,55,23,32,41.81818181818181,-0.5570349578006748
XRP,64,23,41,35.9375,-9.629224951472882
TTE,32,11,21,34.375,-204.83007190410598
NESN,28,12,15,42.857142857142854,-212.56360224578907
ADBE,29,16,13,55.172413793103445,-502.2152879095463
