symbol,trades,wins,losses,win_rate,total_pnl
UNI,203,106,91,52.21674876847291,1794737.3987029726
VIX,219,84,135,38.35616438356164,2904.9258488457835
NVDA,119,69,50,57.98319327731093,2754.462894053296
XRP,179,83,96,46.36871508379888,2011.964703749405
SAP,66,45,21,68.18181818181817,1991.93293875757
META,88,56,32,63.63636363636363,1969.1893543103045
GOOGL,76,48,28,63.1578947368421,1901.8717701848518
AAPL,61,37,24,60.65573770491803,1825.978315282949
ASML,105,63,42,60.0,1564.4996747266591
ETH,206,108,98,52.42718446601942,1405.2662390152786
TRX,176,104,72,59.09090909090909,1388.2519815938092
INTC,107,56,50,52.336448598130836,1061.694847328405
ROKU,114,55,59,48.24561403508772,993.3346122721562
EEM,41,26,15,63.41463414634146,958.0051404541517
ORCL,66,41,25,62.121212121212125,921.7093069130237
AMD,117,59,58,50.427350427350426,785.6658197655338
CRM,82,48,34,58.536585365853654,744.9297111677174
EFA,39,27,12,69.23076923076923,718.0985826461999
GLD,28,20,8,71.42857142857143,714.8386307139349
SHEL,61,36,25,59.01639344262295,667.6205769085171
MATIC,169,93,76,55.02958579881657,622.59340693489
AIR,56,26,30,46.42857142857143,614.2129024642096
VTI,35,21,14,60.0,513.8558352924284
PYPL,96,45,51,46.875,508.0239584613828
MSFT,55,34,21,61.81818181818181,454.98789349662616
SPY,33,20,13,60.60606060606061,432.78727621921576
IWM,49,31,18,63.26530612244898,217.46721436365766
SOL,115,57,58,49.56521739130435,213.9989661270708
ZM,126,66,60,52.38095238095239,166.59210262365286
LINK,112,54,58,48.214285714285715,164.99338821927216
DOGE,87,38,49,43.67816091954023,154.19285806266822
VET,128,56,72,43.75,101.20329968006445
ATOM,164,78,86,47.5609756097561,38.066325862358326
TLT,37,19,18,51.35135135135135,34.92020979231751
XLM,91,40,51,43.956043956043956,33.639121414616085
AVAX,95,44,51,46.31578947368421,-35.09295134073199
BTC,106,51,55,48.113207547169814,-50.27932908014043
ETC,74,34,40,45.94594594594595,-66.24595102864401
FIL,115,49,66,42.608695652173914,-66.8307900014803
AAVE,80,31,49,38.75,-170.78306690314426
ADA,139,66,73,47.482014388489205,-174.3586082780913
TTE,59,29,30,49.152542372881356,-197.46215210542965
DOT,102,52,50,50.98039215686274,-261.80783335600665
NESN,30,14,16,46.666666666666664,-359.2843761991852
ADBE,80,43,37,53.75,-424.0216940980458
ALGO,131,67,64,51.14503816793893,-563.1530153846044
LTC,124,57,67,45.96774193548387,-579.5287976014787
TSLA,130,56,74,43.07692307692308,-595.7826825241615
USO,68,29,39,42.64705882352941,-900.3015235984778
ROG,33,16,17,48.484848484848484,-1018.3690732861752
