trade_id,timestamp,symbol,action,quantity,price,value,realized_pnl,realized_pnl_pct,is_winner,is_loser,harmony_score,dominant_planet,fire_decision,ether_decision,portfolio_value_before,portfolio_value_after
1,2020-01-30 05:00:00+00:00,TTE,BUY,7.546299999999999,34.57040023803711,260.8786113162994,,,,,0.7546299999999999,SUN,APPROVE,EXECUTE,100000.0,100000.0
2,2020-01-30 05:00:00+00:00,SHEL,BUY,7.5325,42.153472900390625,317.52103462219236,,,,,0.75325,SUN,APPROVE,EXECUTE,100000.0,100000.0
3,2020-01-30 05:00:00+00:00,USO,BUY,0.004134479999999999,88.63999938964844,0.3664803046765136,,,,,0.6890799999999999,SUN,APPROVE,EXECUTE,100000.0,100000.0
4,2020-02-03 05:00:00+00:00,USO,SELL,0.004134479999999999,83.91999816894531,0.346965554029541,-0.019514750646972612,-5.324911161105363,False,True,0.68816,SUN,APPROVE,EXECUTE,99977.3785434937,99999.98048524935
5,2020-02-04 05:00:00+00:00,USO,BUY,0.0041331,83.5199966430664,0.3451964981254578,,,,,0.68885,SUN,APPROVE,EXECUTE,99981.94057150654,99999.98048524935
6,2020-02-07 00:00:00+00:00,UNI,BUY,0.008222499999999999,0.002643000101670623,2.1732068335986695e-05,,,,,0.8222499999999999,SUN,APPROVE,EXECUTE,99999.98048524935,99999.98048524935
7,2020-02-08 00:00:00+00:00,UNI,SELL,0.008222499999999999,0.0023849999997764826,1.9610662498162124e-05,-2.121405837824571e-06,-9.761637985978904,False,True,0.7733749999999999,SUN,APPROVE,EXECUTE,99999.98048312795,99999.98048312795
8,2020-02-09 00:00:00+00:00,UNI,BUY,0.0039123000000000005,0.0005019999807700515,1.9639745247666725e-06,,,,,0.77625,SUN,APPROVE,EXECUTE,99999.98048312795,99999.98048312795
9,2020-02-10 00:00:00+00:00,UNI,SELL,0.0039123000000000005,0.0019099999917671084,7.472492967790459e-06,5.508518443023787e-06,280.4781005842334,True,False,0.7417499999999999,SUN,APPROVE,EXECUTE,99999.98048863647,99999.98048863647
10,2020-02-18 05:00:00+00:00,SHEL,SELL,7.5325,40.026023864746094,301.4960247611999,-16.02500986099244,-5.046912838407717,False,True,0.77188,SUN,APPROVE,EXECUTE,99977.54066866213,99983.95547877549
11,2020-02-19 00:00:00+00:00,ETC,BUY,0.00874,8.879036903381348,0.07760278253555297,,,,,0.8739999999999999,SUN,APPROVE,EXECUTE,99983.95547877549,99983.95547877549
12,2020-02-21 00:00:00+00:00,LTC,BUY,0.0087975,73.45092010498047,0.6461844696235657,,,,,0.8797499999999999,SUN,APPROVE,EXECUTE,99983.9603229601,99983.95547877549
13,2020-02-21 00:00:00+00:00,MATIC,BUY,0.0079534,0.02076300047338009,0.0001651364479649812,,,,,0.7953399999999999,SUN,APPROVE,EXECUTE,99983.9603229601,99983.95547877549
14,2020-02-23 00:00:00+00:00,TRX,BUY,0.012488999999999998,0.02130500040948391,0.0002660781501140445,,,,,0.8325999999999999,SUN,APPROVE,EXECUTE,99984.01650832033,99983.95547877549
15,2020-02-23 00:00:00+00:00,ADA,BUY,8.438699999999999,0.06151000037789345,0.5190644401889294,,,,,0.8438699999999999,SUN,APPROVE,EXECUTE,99984.01650832033,99983.95547877549
16,2020-02-23 00:00:00+00:00,BTC,BUY,0.00082041,9924.515625,8.14217186390625,,,,,0.82041,SUN,APPROVE,EXECUTE,99984.01650832033,99983.95547877549
17,2020-02-23 23:00:00+00:00,AIR,BUY,8.7607,116.2190933227539,1018.1606108726502,,,,,0.87607,SUN,APPROVE,EXECUTE,99983.95547877549,99983.95547877549
18,2020-02-24 00:00:00+00:00,TRX,SELL,0.012488999999999998,0.01985899917781353,0.0002480190407317131,-1.8059109382331383e-05,-6.787144819892584,False,True,0.8394999999999999,SUN,APPROVE,EXECUTE,99983.73126585945,99983.95546071639
19,2020-02-24 05:00:00+00:00,TTE,SELL,7.546299999999999,31.556148529052734,238.1321636447906,-22.746447671508776,-8.719169255286358,False,True,0.84364,SUN,APPROVE,EXECUTE,99961.2189324912,99961.20901304489
20,2020-02-25 00:00:00+00:00,ADA,SELL,8.438699999999999,0.05636399984359741,0.4756388854801654,-0.04342555470876397,-8.366120147424837,False,True,0.7985599999999999,SUN,APPROVE,EXECUTE,99960.67077760122,99961.16558749018
21,2020-02-25 00:00:00+00:00,BTC,SELL,0.00082041,9341.705078125,7.664028263144532,-0.4781436007617188,-5.872433163457284,False,True,0.81719,SUN,APPROVE,EXECUTE,99960.67077760122,99960.68744388942
22,2020-02-25 00:00:00+00:00,MATIC,SELL,0.0079534,0.019128000363707542,0.00015213263809271156,-1.3003809872269627e-05,-7.874584946278615,False,True,0.8394999999999999,SUN,APPROVE,EXECUTE,99960.67077760122,99960.6874308856
23,2020-02-26 00:00:00+00:00,ETC,SELL,0.00874,7.680284023284912,0.06712568236351013,-0.010477100172042841,-13.500933638871594,False,True,0.8969999999999999,SUN,APPROVE,EXECUTE,99960.56754269863,99960.67695378544
24,2020-02-26 00:00:00+00:00,LTC,SELL,0.0087975,61.01430892944336,0.5367733828067779,-0.1094110868167878,-16.93186573804925,False,True,0.8394999999999999,SUN,APPROVE,EXECUTE,99960.56754269863,99960.56754269863
25,2020-02-26 05:00:00+00:00,TTE,BUY,5.30058,30.426666259765625,161.27897864318848,,,,,0.8834299999999999,SUN,APPROVE,EXECUTE,99960.55927649864,99960.56754269863
26,2020-02-26 05:00:00+00:00,EFA,BUY,0.008917099999999999,53.94711685180664,0.4810518356792449,,,,,0.8917099999999999,SUN,APPROVE,EXECUTE,99960.55927649864,99960.56754269863
27,2020-02-26 05:00:00+00:00,SHEL,BUY,5.442719999999999,36.47063064575195,198.49943082824703,,,,,0.9071199999999998,SUN,APPROVE,EXECUTE,99960.55927649864,99960.56754269863
28,2020-02-26 23:00:00+00:00,AIR,SELL,8.7607,107.45453643798828,941.376957372284,-76.7836535003662,-7.54140876011262,False,True,0.87929,SUN,APPROVE,EXECUTE,99883.78388919825,99883.78388919825
29,2020-02-27 00:00:00+00:00,ETC,BUY,0.008969999999999999,7.684704780578613,0.06893180188179016,,,,,0.8969999999999999,SUN,APPROVE,EXECUTE,99883.78388919825,99883.78388919825
30,2020-02-27 05:00:00+00:00,VTI,BUY,8.895249999999999,138.68081665039062,1233.600534309387,,,,,0.8895249999999999,SUN,APPROVE,EXECUTE,99871.63397201207,99883.78388919825
