timestamp,equity,cash,holdings,price
2025-12-21 00:00:00,10000.0,10000.0,0.0,88387.92
2025-12-21 00:00:00,10000.0,10000.0,0.0,88387.92
2025-12-21 01:00:00,10000.0,10000.0,0.0,88011.83
2025-12-21 02:00:00,10000.0,10000.0,0.0,87943.76
2025-12-21 03:00:00,10000.0,10000.0,0.0,88070.64
2025-12-21 04:00:00,10000.0,10000.0,0.0,88065.83
2025-12-21 05:00:00,10000.0,10000.0,0.0,88138.95
2025-12-21 06:00:00,10000.0,10000.0,0.0,88090.72
2025-12-21 07:00:00,10000.0,10000.0,0.0,88174.79
2025-12-21 08:00:00,10000.0,10000.0,0.0,88537.87
2025-12-21 09:00:00,10000.0,10000.0,0.0,88892.82
2025-12-21 10:00:00,10000.0,10000.0,0.0,88669.78
2025-12-21 11:00:00,10000.0,10000.0,0.0,88601.57
2025-12-21 12:00:00,10000.0,10000.0,0.0,88638.01
2025-12-21 13:00:00,10000.0,10000.0,0.0,87670.1
2025-12-21 14:00:00,10000.0,10000.0,0.0,88065.18
2025-12-21 15:00:00,10000.0,10000.0,0.0,88067.95
2025-12-21 16:00:00,10000.0,10000.0,0.0,88359.18
2025-12-21 17:00:00,10000.0,10000.0,0.0,88324.14
2025-12-21 18:00:00,10000.0,10000.0,0.0,88445.09
2025-12-21 19:00:00,10000.0,10000.0,0.0,88484.01
2025-12-21 20:00:00,10000.0,10000.0,0.0,88230.96
2025-12-21 21:00:00,10000.0,10000.0,0.0,88162.86
2025-12-21 22:00:00,10000.0,10000.0,0.0,88483.63
2025-12-21 23:00:00,10000.0,10000.0,0.0,88658.86
2025-12-22 00:00:00,10000.0,10000.0,0.0,88622.4
2025-12-22 01:00:00,10000.0,10000.0,0.0,88626.31
2025-12-22 02:00:00,10000.0,10000.0,0.0,88458.27
2025-12-22 03:00:00,10000.0,10000.0,0.0,88774.12
2025-12-22 04:00:00,10000.0,10000.0,0.0,88904.99
2025-12-22 05:00:00,10000.0,10000.0,0.0,88831.34
2025-12-22 06:00:00,10000.0,10000.0,0.0,88909.26
2025-12-22 07:00:00,10000.0,10000.0,0.0,89170.1
2025-12-22 08:00:00,10000.0,10000.0,0.0,89334.2
2025-12-22 09:00:00,10000.0,10000.0,0.0,89829.6
2025-12-22 10:00:00,10000.0,10000.0,0.0,89778.94
2025-12-22 11:00:00,10000.0,10000.0,0.0,89945.43
2025-12-22 12:00:00,10000.0,10000.0,0.0,90208.48
2025-12-22 13:00:00,10000.0,10000.0,0.0,89912.37
2025-12-22 14:00:00,10000.0,10000.0,0.0,90126.43
2025-12-22 15:00:00,10000.0,10000.0,0.0,89726.92
2025-12-22 16:00:00,10000.0,10000.0,0.0,89550.0
2025-12-22 17:00:00,10000.0,10000.0,0.0,89308.92
2025-12-22 18:00:00,10000.0,10000.0,0.0,89150.04
2025-12-22 19:00:00,10000.0,10000.0,0.0,88052.43
2025-12-22 20:00:00,10000.0,10000.0,0.0,88351.03
2025-12-22 21:00:00,10000.0,10000.0,0.0,88275.06
2025-12-22 22:00:00,10000.0,10000.0,0.0,88660.07
2025-12-22 23:00:00,10000.0,10000.0,0.0,88620.79
2025-12-23 00:00:00,10000.0,10000.0,0.0,88770.47
2025-12-23 01:00:00,10000.0,10000.0,0.0,88513.71
2025-12-23 02:00:00,10000.0,9000.0,0.011336994426733539,88206.8
2025-12-23 03:00:00,9999.582798605095,9000.0,0.011336994426733539,88170.0
2025-12-23 04:00:00,9996.873143567163,9000.0,0.011336994426733539,87930.99
2025-12-23 05:00:00,9994.991429232214,9000.0,0.011336994426733539,87765.01
2025-12-23 06:00:00,9990.853426266456,9000.0,0.011336994426733539,87400.01
2025-12-23 07:00:00,9992.83490615236,9000.0,0.011336994426733539,87574.79
2025-12-23 08:00:00,9991.727962016534,9000.0,0.011336994426733539,87477.15
2025-12-23 09:00:00,9992.348095611676,9000.0,0.011336994426733539,87531.85
2025-12-23 10:00:00,9993.301310103076,9000.0,0.011336994426733539,87615.93
2025-12-23 11:00:00,9996.03035140148,9000.0,0.011336994426733539,87856.65
2025-12-23 12:00:00,9995.265444387507,9000.0,0.011336994426733539,87789.18
