type,timestamp,price,shares,confidence,pnl,pnl_pct,note
buy,2025-07-25 22:00:00,117279.97,0.017053210364907152,0.7226027397260274,,,
sell,2026-01-19 20:00:00,93141.94,0.017053210364907152,0.0,-411.63090338443976,-20.581545169221986,end_of_backtest
