timestamp,equity,price,cash,holdings,position
2025-07-23 20:00:00,10000.0,117900.0,,,
2025-07-23 21:00:00,10000.0,118181.36,,,
2025-07-23 22:00:00,10000.0,118568.99,,,
2025-07-23 23:00:00,10000.0,118755.99,,,
2025-07-24 00:00:00,10000.0,119060.0,,,
2025-07-24 01:00:00,10000.0,119094.4,,,
2025-07-24 02:00:00,10000.0,118960.6,,,
2025-07-24 03:00:00,10000.0,118488.92,,,
2025-07-24 04:00:00,10000.0,117941.86,,,
2025-07-24 05:00:00,10000.0,117604.55,,,
2025-07-24 06:00:00,10000.0,117466.81,,,
2025-07-24 07:00:00,10000.0,118416.21,,,
2025-07-24 08:00:00,10000.0,118775.28,,,
2025-07-24 09:00:00,10000.0,118507.08,,,
2025-07-24 10:00:00,10000.0,118373.99,,,
2025-07-24 11:00:00,10000.0,118600.0,,,
2025-07-24 12:00:00,10000.0,118531.42,,,
2025-07-24 13:00:00,10000.0,118227.48,,,
2025-07-24 14:00:00,10000.0,119057.11,,,
2025-07-24 15:00:00,10000.0,119092.65,,,
2025-07-24 16:00:00,10000.0,118529.97,,,
2025-07-24 17:00:00,10000.0,119122.94,,,
2025-07-24 18:00:00,10000.0,119044.29,,,
2025-07-24 19:00:00,10000.0,118943.42,,,
2025-07-24 20:00:00,10000.0,118722.02,,,
2025-07-24 21:00:00,10000.0,118527.52,,,
2025-07-24 22:00:00,10000.0,118280.01,,,
2025-07-24 23:00:00,10000.0,118340.99,,,
2025-07-25 00:00:00,10000.0,117664.56,,,
2025-07-25 01:00:00,10000.0,117359.26,,,
2025-07-25 02:00:00,10000.0,116353.67,,,
2025-07-25 03:00:00,10000.0,115419.66,,,
2025-07-25 04:00:00,10000.0,116102.7,,,
2025-07-25 05:00:00,10000.0,115500.0,,,
2025-07-25 06:00:00,10000.0,115284.25,,,
2025-07-25 07:00:00,10000.0,115320.01,,,
2025-07-25 08:00:00,10000.0,115202.55,,,
2025-07-25 09:00:00,10000.0,116033.44,,,
2025-07-25 10:00:00,10000.0,116308.48,,,
2025-07-25 11:00:00,10000.0,116543.58,,,
2025-07-25 12:00:00,10000.0,116105.96,,,
2025-07-25 13:00:00,10000.0,116216.27,,,
2025-07-25 14:00:00,10000.0,114960.01,,,
2025-07-25 15:00:00,10000.0,115727.08,,,
2025-07-25 16:00:00,10000.0,116185.32,,,
2025-07-25 17:00:00,10000.0,116042.5,,,
2025-07-25 18:00:00,10000.0,116491.53,,,
2025-07-25 19:00:00,10000.0,116688.6,,,
2025-07-25 20:00:00,10000.0,117040.01,,,
2025-07-25 21:00:00,10000.0,117214.23,,,
2025-07-25 22:00:00,10000.0,117279.97,8000.0,0.017053210364907152,long
2025-07-25 23:00:00,10005.701570353403,117614.31,8000.0,0.017053210364907152,long
2025-07-26 00:00:00,10003.684005035131,117496.0,8000.0,0.017053210364907152,long
2025-07-26 01:00:00,9997.847202723533,117153.73,8000.0,0.017053210364907152,long
2025-07-26 02:00:00,10003.223568355279,117469.0,8000.0,0.017053210364907152,long
2025-07-26 03:00:00,10003.575205553003,117489.62,8000.0,0.017053210364907152,long
2025-07-26 04:00:00,10003.697818135526,117496.81,8000.0,0.017053210364907152,long
2025-07-26 05:00:00,10002.814120774417,117444.99,8000.0,0.017053210364907152,long
2025-07-26 06:00:00,10001.206344101214,117350.71,8000.0,0.017053210364907152,long
2025-07-26 07:00:00,10000.41780365394,117304.47,8000.0,0.017053210364907152,long
2025-07-26 08:00:00,10004.72663831684,117557.14,8000.0,0.017053210364907152,long
2025-07-26 09:00:00,10004.956174528354,117570.6,8000.0,0.017053210364907152,long
2025-07-26 10:00:00,10011.800139444102,117971.93,8000.0,0.017053210364907152,long
2025-07-26 11:00:00,10008.460779790445,117776.11,8000.0,0.017053210364907152,long
2025-07-26 12:00:00,10010.815146013425,117914.17,8000.0,0.017053210364907152,long
2025-07-26 13:00:00,10014.414567125144,118125.24,8000.0,0.017053210364907152,long
2025-07-26 14:00:00,10013.38711120066,118064.99,8000.0,0.017053210364907152,long
2025-07-26 15:00:00,10014.497445727518,118130.1,8000.0,0.017053210364907152,long
2025-07-26 16:00:00,10013.663202676467,118081.18,8000.0,0.017053210364907152,long
2025-07-26 17:00:00,10012.960610409433,118039.98,8000.0,0.017053210364907152,long
2025-07-26 18:00:00,10013.901436025264,118095.15,8000.0,0.017053210364907152,long
2025-07-26 19:00:00,10016.237043716843,118232.11,8000.0,0.017053210364907152,long
2025-07-26 20:00:00,10011.533938830305,117956.32,8000.0,0.017053210364907152,long
2025-07-26 21:00:00,10012.765862747066,118028.56,8000.0,0.017053210364907152,long
2025-07-26 22:00:00,10012.398536595805,118007.02,8000.0,0.017053210364907152,long
2025-07-26 23:00:00,10010.914395697748,117919.99,8000.0,0.017053210364907152,long
2025-07-27 00:00:00,10011.460268961528,117952.0,8000.0,0.017053210364907152,long
2025-07-27 01:00:00,10014.018250516265,118102.0,8000.0,0.017053210364907152,long
2025-07-27 02:00:00,10017.56514774006,118309.99,8000.0,0.017053210364907152,long
2025-07-27 03:00:00,10015.39666151006,118182.83,8000.0,0.017053210364907152,long
2025-07-27 04:00:00,10015.946968608536,118215.1,8000.0,0.017053210364907152,long
2025-07-27 05:00:00,10016.963851542594,118274.73,8000.0,0.017053210364907152,long
2025-07-27 06:00:00,10016.77063866916,118263.4,8000.0,0.017053210364907152,long
2025-07-27 07:00:00,10013.915078593556,118095.95,8000.0,0.017053210364907152,long
2025-07-27 08:00:00,10011.43417754967,117950.47,8000.0,0.017053210364907152,long
2025-07-27 09:00:00,10011.32247902178,117943.92,8000.0,0.017053210364907152,long
2025-07-27 10:00:00,10015.432302719722,118184.92,8000.0,0.017053210364907152,long
2025-07-27 11:00:00,10013.518761984677,118072.71,8000.0,0.017053210364907152,long
2025-07-27 12:00:00,10013.939635216482,118097.39,8000.0,0.017053210364907152,long
2025-07-27 13:00:00,10015.723401020652,118201.99,8000.0,0.017053210364907152,long
2025-07-27 14:00:00,10019.478006346693,118422.16,8000.0,0.017053210364907152,long
2025-07-27 15:00:00,10022.267570498185,118585.74,8000.0,0.017053210364907152,long
2025-07-27 16:00:00,10030.874496301458,119090.45,8000.0,0.017053210364907152,long
2025-07-27 17:00:00,10032.686229370625,119196.69,8000.0,0.017053210364907152,long
2025-07-27 18:00:00,10029.695778401034,119021.33,8000.0,0.017053210364907152,long
2025-07-27 19:00:00,10028.649905009355,118960.0,8000.0,0.017053210364907152,long
2025-07-27 20:00:00,10025.13916059153,118754.13,8000.0,0.017053210364907152,long
2025-07-27 21:00:00,10033.86409461053,119265.76,8000.0,0.017053210364907152,long
