date,open,high,low,close,volume
2020-01-02,38.2083,38.30531,37.993492,38.298382,1166500.0
2020-01-03,38.298387,38.610207,38.26374,38.436974,1519000.0
2020-01-06,39.310058,39.434786,38.922015,39.157612,3516900.0
2020-01-07,39.019033,39.032892,38.596343,38.935879,2463000.0
2020-01-08,38.762643,38.873512,38.533977,38.700279,2831400.0
2020-01-09,38.520122,38.831942,38.284525,38.721073,2293500.0
2020-01-10,38.499329,38.547835,38.298378,38.430035,3621700.0
2020-01-13,38.111292,38.423112,37.972705,38.388466,3270400.0
2020-01-14,37.9727,38.014277,37.778679,37.896477,1864800.0
2020-01-15,37.432218,37.667816,37.390642,37.501511,1636500.0
2020-01-16,37.744032,37.764819,37.53615,37.626232,1091400.0
2020-01-17,37.418357,37.536154,37.189688,37.425285,1500000.0
2020-01-21,37.078818,37.155041,36.822434,36.829365,2023900.0
2020-01-22,36.753142,36.773929,36.56605,36.656132,1709900.0
2020-01-23,36.344308,36.586833,36.108711,36.482895,1548500.0
2020-01-24,36.198802,36.316599,36.10872,36.212658,1766700.0
2020-01-27,35.464293,35.637526,35.131686,35.207909,2011200.0
2020-01-28,35.214836,35.478151,35.090108,35.388069,1914200.0
2020-01-29,35.33956,35.388065,34.916871,34.923801,1634800.0
2020-01-30,34.431817,34.632768,34.161574,34.570404,1824200.0
2020-01-31,33.89826,34.043778,33.614158,33.669594,2388900.0
2020-02-03,33.676516,33.780457,33.496354,33.607224,1964600.0
2020-02-04,34.265519,34.293237,33.856688,33.891335,2313900.0
2020-02-05,34.847584,34.88223,34.494187,34.674351,2393600.0
2020-02-06,34.792137,35.214827,34.743632,34.76442,2446700.0
2020-02-07,34.404094,34.43874,34.182356,34.237789,3139900.0
2020-02-10,33.856685,33.939836,33.662665,33.863613,1770500.0
2020-02-11,34.057634,34.175431,33.97448,34.168503,2789200.0
2020-02-12,34.397169,34.625838,34.223936,34.514969,1891300.0
2020-02-13,34.036841,34.210074,33.925972,34.085346,2459400.0
2020-02-14,34.251647,34.251647,33.877463,34.099201,1414900.0
2020-02-18,33.46171,33.766599,33.44092,33.718094,1975100.0
2020-02-19,33.773539,33.877477,33.64188,33.835903,1583700.0
2020-02-20,33.822043,33.870548,33.440928,33.503292,1444500.0
2020-02-21,33.184542,33.323129,33.004381,33.260765,1733800.0
2020-02-24,31.680877,31.83332,31.54229,31.556149,2125300.0
2020-02-25,31.299766,31.36213,30.419744,30.599905,3336200.0
2020-02-26,30.904791,31.071096,30.350445,30.426668,3072000.0
2020-02-27,30.059408,30.495954,29.62286,29.62286,3756400.0
2020-02-28,28.978438,30.024767,28.631971,29.893108,5065100.0
2020-03-02,29.983191,30.821639,29.692158,30.780062,3889700.0
2020-03-03,30.669198,31.230475,29.941619,30.14257,4042300.0
2020-03-04,30.738488,31.140387,30.509819,31.064167,3292400.0
2020-03-05,30.232646,30.433595,29.872321,30.170282,2737400.0
2020-03-06,29.44963,29.643651,29.026941,29.317974,3422800.0
2020-03-09,25.430624,25.693939,24.086333,24.093264,11580700.0
2020-03-10,25.659293,25.825598,24.425874,25.652365,6898400.0
2020-03-11,25.229672,25.312823,23.60821,23.913099,7588500.0
2020-03-12,22.153057,22.173845,19.96339,20.17127,8805600.0
2020-03-13,22.000605,22.000605,19.706999,21.63335,4990200.0
2020-03-16,18.445864,19.291242,18.016246,18.224125,5041200.0
2020-03-17,19.000212,19.346678,18.438937,19.145727,4181000.0
2020-03-18,17.136222,17.475758,15.334597,17.184727,6215000.0
2020-03-19,16.415573,17.600487,15.694923,17.157011,8288700.0
2020-03-20,17.933094,19.173444,17.614346,17.614346,9054400.0
2020-03-23,20.496947,20.496947,19.519912,19.956459,10013400.0
2020-03-24,22.229276,23.19938,21.702646,22.845985,5664900.0
2020-03-25,23.760656,25.402905,23.227097,25.028721,6755200.0
2020-03-26,24.22888,25.56667,24.165175,25.035801,4558300.0
2020-03-27,24.214727,25.177371,23.620153,24.915476,3443400.0
