date,open,high,low,close,volume
2020-01-02,1518.099976,1528.699951,1518.0,1524.5,214.0
2020-01-03,1530.099976,1552.699951,1530.099976,1549.199951,107.0
2020-01-06,1580.0,1580.0,1560.400024,1566.199951,416.0
2020-01-07,1558.300049,1576.300049,1558.300049,1571.800049,47.0
2020-01-08,1579.699951,1604.199951,1552.300049,1557.400024,236.0
2020-01-09,1555.699951,1555.699951,1543.300049,1551.699951,54.0
2020-01-10,1551.199951,1558.800049,1545.400024,1557.5,16.0
2020-01-13,1557.400024,1558.0,1548.400024,1548.400024,48.0
2020-01-14,1546.699951,1546.699951,1534.900024,1542.400024,32.0
2020-01-15,1548.0,1553.900024,1545.599976,1552.099976,11.0
2020-01-16,1555.699951,1556.099976,1548.5,1549.0,98.0
2020-01-17,1554.099976,1558.800049,1553.599976,1558.800049,108.0
2020-01-21,1559.300049,1566.199951,1551.0,1556.400024,45.0
2020-01-22,1549.800049,1557.099976,1549.800049,1555.300049,42.0
2020-01-23,1553.099976,1564.599976,1552.199951,1564.599976,15.0
2020-01-24,1556.300049,1571.099976,1556.300049,1571.099976,43.0
2020-01-27,1584.300049,1584.5,1576.800049,1576.800049,22.0
2020-01-28,1576.400024,1576.400024,1569.199951,1569.199951,3.0
2020-01-29,1569.800049,1569.800049,1569.800049,1569.800049,251274.0
2020-01-30,1576.800049,1585.0,1571.400024,1583.5,62336.0
2020-01-31,1573.400024,1589.0,1570.0,1582.900024,1095.0
2020-02-03,1592.900024,1593.300049,1568.199951,1577.199951,1062.0
2020-02-04,1577.699951,1577.699951,1547.800049,1550.400024,978.0
2020-02-05,1553.199951,1560.699951,1547.699951,1557.800049,1305.0
2020-02-06,1553.599976,1565.599976,1551.599976,1565.099976,110.0
2020-02-07,1564.900024,1571.900024,1560.5,1568.599976,431.0
2020-02-10,1569.300049,1574.699951,1568.599976,1574.699951,128.0
2020-02-11,1570.900024,1571.099976,1561.900024,1565.599976,440.0
2020-02-12,1565.199951,1568.699951,1561.0,1567.400024,36.0
2020-02-13,1570.199951,1575.099976,1570.199951,1575.099976,74.0
2020-02-14,1575.800049,1582.699951,1574.800049,1582.699951,68.0
2020-02-18,1579.800049,1604.300049,1579.800049,1600.0,310.0
2020-02-19,1600.599976,1610.5,1599.699951,1607.5,542.0
2020-02-20,1606.5,1621.0,1603.0,1616.599976,117.0
2020-02-21,1619.300049,1645.0,1619.300049,1644.599976,186.0
2020-02-24,1657.0,1686.599976,1650.0,1672.400024,435.0
2020-02-25,1645.099976,1653.699951,1632.300049,1646.900024,409.0
2020-02-26,1644.0,1648.099976,1636.400024,1640.0,1990.0
2020-02-27,1641.099976,1658.0,1638.5,1640.0,707.0
2020-02-28,1640.300049,1642.5,1564.099976,1564.099976,289.0
2020-03-02,1583.900024,1608.300049,1574.300049,1592.300049,537.0
2020-03-03,1594.5,1645.300049,1594.0,1642.099976,610.0
2020-03-04,1645.400024,1645.900024,1631.300049,1641.099976,83.0
2020-03-05,1637.300049,1672.900024,1637.199951,1666.400024,154.0
2020-03-06,1670.800049,1686.199951,1647.199951,1670.800049,175.0
2020-03-09,1696.099976,1701.599976,1657.699951,1674.5,161.0
2020-03-10,1671.599976,1674.599976,1643.0,1659.099976,48.0
2020-03-11,1656.599976,1666.5,1635.0,1641.400024,47.0
2020-03-12,1637.0,1647.5,1566.400024,1589.300049,256.0
2020-03-13,1574.900024,1589.800049,1513.800049,1515.699951,89.0
2020-03-16,1569.099976,1569.099976,1452.099976,1485.900024,193.0
2020-03-17,1469.300049,1537.699951,1469.300049,1524.900024,122.0
