date,open,high,low,close,volume
2020-01-02,117.939614,119.04486,117.492458,119.036415,10803700.0
2020-01-03,116.752321,118.221274,116.395697,117.465569,10386800.0
2020-01-06,115.954176,117.406156,115.903232,117.372185,10259000.0
2020-01-07,116.565485,117.057969,115.325795,115.37674,10531300.0
2020-01-08,115.223934,116.820261,115.139031,116.276833,9695300.0
2020-01-09,117.219342,117.372175,116.361735,116.701385,9469000.0
2020-01-10,116.506084,116.540042,115.317325,115.538101,10190900.0
2020-01-13,115.639972,116.497566,115.274849,116.497566,12355200.0
2020-01-14,117.12593,119.520407,116.913653,117.856163,24906000.0
2020-01-15,117.0495,117.686331,115.606006,116.090004,16293400.0
2020-01-16,116.709889,117.091985,116.191932,116.54007,10783800.0
2020-01-17,116.786266,117.423096,116.599474,117.34668,14697700.0
2020-01-21,116.489103,117.236322,116.064549,116.19191,8474200.0
2020-01-22,116.53158,116.667427,115.801346,116.056068,7549100.0
2020-01-23,115.232424,116.107004,114.391802,115.937172,9345700.0
2020-01-24,115.792821,115.843765,112.353945,113.058693,15166400.0
2020-01-27,110.613272,112.880388,110.137773,112.107697,12860500.0
2020-01-28,112.795475,114.604079,112.489796,114.145554,13062800.0
2020-01-29,114.468215,115.08806,113.517218,113.975731,9326000.0
2020-01-30,112.668112,115.589044,112.668112,115.385254,9048900.0
2020-01-31,114.196528,114.485222,111.632219,112.387924,12785200.0
2020-02-03,112.642655,113.984247,112.642655,113.245514,10021100.0
2020-02-04,115.096577,115.988143,114.697496,114.875801,9157100.0
2020-02-05,115.96264,116.947595,115.487128,116.82872,10150700.0
2020-02-06,117.380645,117.42309,116.421149,116.845703,8992300.0
2020-02-07,116.098505,116.896668,115.733395,116.472115,6379800.0
2020-02-10,116.285298,117.049503,116.115479,116.9561,5960700.0
2020-02-11,117.397628,117.873139,116.99006,117.176865,6578600.0
2020-02-12,117.686334,118.272208,117.007046,117.176865,7958000.0
2020-02-13,116.964601,117.465572,115.8183,117.074989,7447500.0
2020-02-14,117.041013,117.338206,116.276821,116.718361,6627600.0
2020-02-18,116.61647,116.930648,114.672018,115.172989,8996400.0
2020-02-19,116.251344,117.50802,115.767346,116.743828,7071200.0
2020-02-20,116.472107,117.482547,115.928679,116.743828,7422800.0
2020-02-21,115.945689,116.259855,114.561639,115.317345,9772800.0
2020-02-24,111.606728,113.101153,111.063299,112.218086,13618400.0
2020-02-25,111.233136,112.277535,106.639459,107.208366,20797200.0
2020-02-26,107.777248,109.492443,107.276271,107.531006,24825600.0
2020-02-27,104.36384,106.664921,102.996776,103.056213,23005500.0
2020-02-28,99.787128,100.610763,95.660471,98.58989,45931400.0
2020-03-02,99.03142,103.234506,97.188858,103.183556,27355400.0
2020-03-03,102.716577,104.397807,98.700294,99.311653,32547700.0
2020-03-04,100.474923,102.054264,97.392658,101.765564,25795900.0
2020-03-05,98.2163,98.861624,95.59256,96.77282,25025600.0
2020-03-06,90.226222,93.673599,89.173324,91.771599,38159400.0
2020-03-09,81.998334,84.256964,78.96702,79.34063,40352000.0
2020-03-10,84.061662,85.997626,80.308607,85.505142,31102700.0
2020-03-11,82.957838,84.953247,80.283154,81.480392,38127000.0
2020-03-12,76.071567,82.329494,73.294987,74.763947,49725200.0
2020-03-13,81.505844,88.298705,78.117906,88.230782,38543300.0
2020-03-16,72.34397,79.79914,71.792055,75.027153,38589700.0
2020-03-17,77.175416,82.737075,74.296941,79.612358,35239800.0
2020-03-18,74.441278,77.090496,68.234302,71.231651,41525600.0
2020-03-19,69.253219,74.814877,65.304874,72.428886,32175100.0
2020-03-20,73.278018,75.961195,70.034425,70.900513,30150800.0
2020-03-23,70.204265,71.11281,66.306855,67.105019,32536600.0
2020-03-24,72.089237,76.504594,70.391022,75.086586,34363200.0
2020-03-25,75.774374,80.792604,71.78357,77.888657,38111700.0
2020-03-26,79.884072,83.696564,79.425553,83.314468,29826300.0
2020-03-27,79.128363,80.529386,76.886719,77.379196,30041500.0
2020-03-30,76.971623,79.892549,75.825329,79.391579,21656900.0
2020-03-31,78.160369,79.960473,75.859281,76.445168,23379300.0
2020-04-01,72.259075,73.498772,70.688227,71.630737,28029600.0
2020-04-02,70.908989,74.645064,70.441977,74.30542,24018000.0
2020-04-03,73.782094,75.051836,71.010973,72.109131,21199400.0
2020-04-06,76.347305,78.063168,75.240573,76.750534,26820800.0
2020-04-07,81.031602,81.074501,77.539822,77.762886,22563800.0
2020-04-08,79.015471,81.383363,77.685681,80.902924,22903300.0
2020-04-09,83.150704,89.559452,83.124967,88.161026,42055900.0
2020-04-13,88.461301,88.461301,83.476722,84.24028,26911900.0
