date,open,high,low,close,volume
2020-01-01,0.9673,0.9692,0.9665,0.9672,0.0
2020-01-02,0.96768,0.97229,0.9675,0.9675,0.0
2020-01-03,0.97137,0.97434,0.96879,0.9712,0.0
2020-01-06,0.97152,0.97157,0.9682,0.97148,0.0
2020-01-07,0.96849,0.97281,0.9683,0.9685,0.0
2020-01-08,0.96874,0.97322,0.9665,0.96883,0.0
2020-01-09,0.97319,0.97466,0.9711,0.9732,0.0
2020-01-10,0.97328,0.97615,0.9723,0.97312,0.0
2020-01-13,0.97314,0.97357,0.9695,0.97314,0.0
2020-01-14,0.9709,0.97126,0.9668,0.9707,0.0
2020-01-15,0.9672,0.96798,0.9631,0.96707,0.0
2020-01-16,0.96378,0.96509,0.96125,0.9637,0.0
2020-01-17,0.96494,0.96956,0.9642,0.96488,0.0
2020-01-20,0.96814,0.96978,0.9674,0.96821,0.0
2020-01-21,0.96829,0.96885,0.96606,0.96838,0.0
2020-01-22,0.96888,0.9726,0.96865,0.9688,0.0
2020-01-23,0.9672,0.96989,0.96688,0.9674,0.0
2020-01-24,0.96956,0.97176,0.9692,0.9695,0.0
2020-01-27,0.97004,0.97184,0.9681,0.96994,0.0
2020-01-28,0.9699,0.974,0.9676,0.96985,0.0
2020-01-29,0.9726,0.97664,0.9725,0.97298,0.0
2020-01-30,0.97323,0.97323,0.96796,0.97318,0.0
2020-01-31,0.96953,0.97118,0.96312,0.96941,0.0
2020-02-03,0.96343,0.96657,0.9627,0.96336,0.0
2020-02-04,0.96571,0.97036,0.9654,0.9657,0.0
2020-02-05,0.96937,0.97465,0.96781,0.96927,0.0
2020-02-06,0.97348,0.97551,0.9729,0.9733,0.0
2020-02-07,0.9744,0.97796,0.9737,0.9745,0.0
2020-02-10,0.97672,0.9783,0.9763,0.97666,0.0
2020-02-11,0.9773,0.97877,0.9757,0.9771,0.0
2020-02-12,0.9757,0.97715,0.9741,0.9756,0.0
2020-02-13,0.97753,0.97936,0.976,0.97756,0.0
2020-02-14,0.97897,0.98211,0.9787,0.97888,0.0
2020-02-17,0.98172,0.98266,0.9809,0.98169,0.0
2020-02-18,0.98071,0.98388,0.9795,0.9804,0.0
2020-02-19,0.98329,0.98434,0.9823,0.9829,0.0
2020-02-20,0.98374,0.98473,0.9813,0.9835,0.0
2020-02-21,0.98376,0.98399,0.97709,0.98376,0.0
2020-02-24,0.97897,0.98133,0.9765,0.97884,0.0
2020-02-25,0.97976,0.98035,0.975,0.97978,0.0
2020-02-26,0.97612,0.97771,0.973,0.9759,0.0
2020-02-27,0.97639,0.97639,0.96756,0.97639,0.0
2020-02-28,0.9689,0.9695,0.96098,0.96875,0.0
2020-03-02,0.96406,0.96537,0.95455,0.96398,0.0
2020-03-03,0.95827,0.9596,0.9521,0.9581,0.0
2020-03-04,0.95579,0.95957,0.95331,0.95565,0.0
2020-03-05,0.95637,0.957,0.9484,0.9566,0.0
2020-03-06,0.94579,0.94647,0.93188,0.9458,0.0
2020-03-09,0.92752,0.93157,0.91822,0.92745,0.0
