date,open,high,low,close,volume
2020-01-02,91.54791,92.169293,91.517598,92.017738,5205000.0
2020-01-03,92.282954,92.995273,91.494858,91.699463,6360900.0
2020-01-06,91.873729,92.199577,91.184149,91.388748,9953000.0
2020-01-07,90.191467,90.729499,89.244237,90.221779,7856900.0
2020-01-08,89.835329,90.244528,89.153322,89.191208,7295900.0
2020-01-09,89.107844,89.357914,88.039372,89.047226,7345300.0
2020-01-10,89.054776,89.183604,88.206062,88.236374,6393800.0
2020-01-13,88.259111,88.592537,87.963575,88.403091,6846700.0
2020-01-14,88.281865,88.569821,87.683214,88.13031,7189100.0
2020-01-15,88.130285,88.213642,87.637724,88.001457,5808800.0
2020-01-16,88.327307,88.872913,88.24395,88.577377,7022000.0
2020-01-17,88.668318,88.880496,87.539215,87.584686,7885900.0
2020-01-21,87.220959,87.258851,85.758436,85.864525,8470300.0
2020-01-22,85.70538,86.031227,85.220399,85.553825,5589900.0
2020-01-23,85.174944,86.000926,84.76574,85.705391,8007800.0
2020-01-24,85.470475,85.614456,84.371684,84.758156,6920000.0
2020-01-27,83.545697,83.985214,83.341098,83.651787,7609800.0
2020-01-28,84.098882,84.583863,83.939742,84.204971,5771900.0
2020-01-29,84.45506,84.750596,83.492677,83.636658,4772800.0
2020-01-30,83.212265,84.553546,82.643927,84.417145,8382700.0
2020-01-31,83.212254,83.356235,80.628214,81.188972,13699600.0
2020-02-03,81.044999,81.272336,79.870437,80.537285,8785500.0
2020-02-04,81.598185,82.09832,80.779777,80.969223,9909000.0
2020-02-05,82.045288,83.848818,81.924045,83.568436,6914100.0
2020-02-06,83.833669,83.863981,82.681839,82.969795,6274000.0
2020-02-07,82.545437,82.931909,82.196857,82.553017,4830100.0
2020-02-10,82.249891,83.2047,82.083177,83.197121,6011800.0
2020-02-11,83.947331,84.394426,83.401725,84.273178,6072700.0
2020-02-12,85.258297,85.326495,84.57629,84.902138,5725700.0
2020-02-13,84.394408,85.12188,84.288319,84.614166,5991900.0
2020-02-14,84.974496,85.074163,84.008533,84.391853,5148700.0
2020-02-18,83.563878,84.537509,83.43355,84.514511,4975800.0
2020-02-19,84.729165,85.173818,84.246183,84.897827,5887500.0
2020-02-20,84.928503,85.15083,84.100529,84.18486,4466600.0
2020-02-21,83.556212,83.709544,82.528916,83.571548,6443900.0
2020-02-24,81.041612,81.999913,80.052644,80.274971,9539800.0
2020-02-25,80.343993,80.435986,76.664113,77.208427,12871900.0
2020-02-26,77.323427,77.898408,75.130833,75.161499,11990400.0
2020-02-27,73.559212,75.284154,72.125597,72.163925,15783700.0
2020-02-28,69.480662,71.634927,69.082011,71.558258,20835100.0
2020-03-02,72.079598,74.118866,70.69198,74.049866,15050800.0
2020-03-03,74.20319,75.498816,71.581279,72.363251,16525500.0
2020-03-04,73.881206,75.9128,73.344553,75.537148,14753000.0
2020-03-05,73.375211,74.663168,72.7849,74.509842,12814400.0
2020-03-06,72.002934,73.643546,71.619614,73.076233,16861900.0
2020-03-09,63.040877,67.47206,61.331266,61.844913,30595500.0
2020-03-10,66.115118,66.161121,62.128587,65.149155,22642900.0
2020-03-11,63.040922,65.041851,62.672932,63.654232,18412800.0
2020-03-12,59.207685,59.897658,55.857462,58.464043,25768200.0
2020-03-13,61.31596,64.014534,56.815774,63.953201,23497500.0
2020-03-16,55.635149,60.173663,53.427225,53.434887,17535300.0
2020-03-17,53.97154,55.949476,50.207329,54.193867,22684200.0
2020-03-18,50.7593,50.774636,41.835599,42.203587,24947300.0
2020-03-19,42.364582,44.840835,39.558676,43.997528,29871000.0
2020-03-20,45.638144,46.496785,43.207893,45.530815,26960400.0
2020-03-23,44.664499,45.538472,40.608971,41.567272,23764000.0
