timestamp,open,high,low,close,volume,datetime
1704063600000,100.53,101.77,99.78,101.72,282101.2,2023-12-31 23:00:00
1704067200000,101.72,102.79,101.56,101.96,196680.93,2024-01-01 00:00:00
1704070800000,101.96,104.75,101.51,104.12,242095.33,2024-01-01 01:00:00
1704074400000,104.11,104.34,103.22,103.69,125943.27,2024-01-01 02:00:00
1704078000000,103.69,103.99,102.54,103.07,126749.2,2024-01-01 03:00:00
1704081600000,103.07,103.98,101.53,102.62,157782.35,2024-01-01 04:00:00
1704085200000,102.63,102.83,101.44,101.64,82799.69,2024-01-01 05:00:00
1704088800000,101.64,102.52,101.54,102.34,76782.75,2024-01-01 06:00:00
1704092400000,102.34,103.25,101.77,102.51,108281.32,2024-01-01 07:00:00
1704096000000,102.49,102.98,101.95,102.48,87915.63,2024-01-01 08:00:00
1704099600000,102.49,104.31,101.78,104.03,184194.03,2024-01-01 09:00:00
1704103200000,104.04,104.95,103.94,104.14,239985.0,2024-01-01 10:00:00
1704106800000,104.14,104.59,103.74,104.32,132444.07,2024-01-01 11:00:00
1704110400000,104.33,106.1,103.86,104.76,267177.81,2024-01-01 12:00:00
1704114000000,104.76,105.81,104.36,105.31,191274.15,2024-01-01 13:00:00
1704117600000,105.31,105.34,104.28,104.39,136742.53,2024-01-01 14:00:00
1704121200000,104.39,106.39,104.15,105.98,183898.0,2024-01-01 15:00:00
1704124800000,105.99,108.39,105.83,106.64,397796.6,2024-01-01 16:00:00
1704128400000,106.63,107.2,106.05,107.09,145583.45,2024-01-01 17:00:00
1704132000000,107.09,108.48,107.09,107.88,250716.5,2024-01-01 18:00:00
1704135600000,107.88,109.07,107.4,108.81,218337.08,2024-01-01 19:00:00
1704139200000,108.82,109.47,107.59,107.88,312126.53,2024-01-01 20:00:00
1704142800000,107.9,108.33,107.47,108.04,182230.12,2024-01-01 21:00:00
1704146400000,108.03,108.14,107.12,108.09,112720.6,2024-01-01 22:00:00
1704150000000,108.09,109.93,108.08,109.91,243053.43,2024-01-01 23:00:00
1704153600000,109.93,110.96,108.46,110.54,406807.79,2024-01-02 00:00:00
