trade_id,timestamp,symbol,action,quantity,price,value,realized_pnl,realized_pnl_pct,is_winner,is_loser,portfolio_value_before,portfolio_value_after
1,2020-01-01 00:00:00+00:00,ATOM,BUY,1826.4181556494946,4.380157947540283,8000.0,,,,,100000.0,100000.0
2,2020-01-01 00:00:00+00:00,ETC,BUY,1715.1820931643924,4.502791881561279,7723.108004499908,,,,,100000.0,100000.0
3,2020-01-01 00:00:00+00:00,ETH,BUY,61.16114341175702,130.802001953125,8000.0,,,,,100000.0,100000.0
4,2020-01-01 00:00:00+00:00,FIL,BUY,2080.8839097044197,3.844520092010498,8000.000000000001,,,,,100000.0,100000.0
5,2020-01-01 00:00:00+00:00,TRX,BUY,603773.5920353011,0.013249999843537807,8000.0,,,,,100000.0,100000.0
6,2020-01-01 00:00:00+00:00,UNI,BUY,2860088.6808919916,0.0025859999004751444,7396.189044136777,,,,,100000.0,99999.99999999999
7,2020-01-01 00:00:00+00:00,XLM,BUY,176013.72778193967,0.045451000332832336,8000.0,,,,,100000.0,99999.99999999999
8,2020-01-01 23:00:00+00:00,AIR,BUY,64.12342899048295,124.75939178466797,7999.999999999998,,,,,99999.99999999999,99999.99999999999
9,2020-01-02 00:00:00+00:00,ADA,BUY,243260.22869715013,0.03275100141763687,7967.016094915033,,,,,99587.70118643792,99999.99999999999
10,2020-01-02 00:00:00+00:00,ALGO,BUY,37313.0899053639,0.21351799368858337,7967.016094915033,,,,,99587.70118643792,99999.99999999999
11,2020-01-02 00:00:00+00:00,ATOM,SELL,1826.4181556494946,4.0918169021606445,7473.368679699673,-526.6313203003274,-6.582891503754093,False,True,99587.70118643792,99473.36867969966
12,2020-01-02 00:00:00+00:00,BTC,BUY,1.1166483284801525,6985.47021484375,7800.313639053165,,,,,99587.70118643792,99473.36867969966
13,2020-01-02 00:00:00+00:00,DOGE,BUY,3965662.7027160176,0.0020089999306946993,7967.016094915033,,,,,99587.70118643792,99473.36867969965
14,2020-01-02 00:00:00+00:00,ETC,SELL,1715.1820931643924,4.255887985229492,7299.622862779109,-423.4851417207992,-5.483351281298325,False,True,99587.70118643792,99049.88353797885
15,2020-01-02 00:00:00+00:00,FIL,SELL,2080.8839097044197,4.459174156188965,9279.0237521834,1279.0237521833997,15.987796902292494,True,False,99587.70118643792,100328.90729016226
16,2020-01-02 00:00:00+00:00,LINK,BUY,4575.7366196363855,1.7411439418792725,7967.016094915033,,,,,99587.70118643792,100328.90729016226
17,2020-01-02 00:00:00+00:00,VET,BUY,1563079.4990978076,0.005096999928355217,7967.016094915034,,,,,99587.70118643792,100328.90729016226
18,2020-01-02 00:00:00+00:00,XRP,BUY,42368.054999929,0.1880429983139038,7967.016094915033,,,,,99587.70118643792,100328.90729016226
19,2020-01-02 05:00:00+00:00,AAPL,BUY,69.94137720678252,72.40052795410156,5063.79263560802,,,,,100328.90729016226,100328.90729016226
20,2020-01-02 05:00:00+00:00,ADBE,BUY,0.7570781249451523,334.42999267578125,253.18963178040147,,,,,100328.90729016226,100328.90729016226
21,2020-01-02 05:00:00+00:00,CRM,BUY,0.07673092870055373,164.98538208007812,12.65948158902009,,,,,100328.90729016226,100328.90729016224
22,2020-01-02 05:00:00+00:00,EEM,BUY,0.015789982464203024,40.087066650390625,0.6329740794510058,,,,,100328.90729016226,100328.90729016226
