trade_id,timestamp,symbol,action,quantity,price,value,realized_pnl,realized_pnl_pct,is_winner,is_loser,portfolio_value_before,portfolio_value_after
1,2020-01-01 00:00:00+00:00,ALGO,BUY,36373.88800070245,0.2199379950761795,8000.0,,,,,100000.0,100000.0
2,2020-01-01 00:00:00+00:00,ATOM,BUY,1826.4181556494946,4.380157947540283,8000.0,,,,,100000.0,100000.0
3,2020-01-01 00:00:00+00:00,BTC,BUY,1.1110842110824004,7200.17431640625,8000.0,,,,,100000.0,100000.0
4,2020-01-01 00:00:00+00:00,DOGE,BUY,3935071.103588558,0.00203300011344254,8000.0,,,,,100000.0,100000.0
5,2020-01-01 00:00:00+00:00,FIL,BUY,2080.8839097044197,3.844520092010498,8000.000000000001,,,,,100000.0,100000.0
6,2020-01-01 00:00:00+00:00,LINK,BUY,4428.10956902897,1.8066400289535522,8000.000000000001,,,,,100000.0,100000.0
7,2020-01-01 00:00:00+00:00,LTC,BUY,190.395864868862,42.01771926879883,8000.0,,,,,100000.0,100000.0
8,2020-01-01 00:00:00+00:00,TRX,BUY,603773.5920353011,0.013249999843537807,8000.0,,,,,100000.0,100000.0
9,2020-01-01 00:00:00+00:00,UNI,BUY,2961353.0996399615,0.0025859999004751444,7658.058820940701,,,,,100000.0,100000.0
10,2020-01-01 00:00:00+00:00,VET,BUY,1490590.6127649494,0.005367000121623278,8000.0,,,,,100000.0,100000.0
11,2020-01-01 00:00:00+00:00,XLM,BUY,171099.71992127053,0.045451000332832336,7776.653427089186,,,,,100000.0,100000.0
12,2020-01-01 00:00:00+00:00,XRP,BUY,41522.41790660608,0.19266700744628906,8000.0,,,,,100000.0,100000.0
13,2020-01-01 23:00:00+00:00,AIR,BUY,34.76310121691854,124.75939178466797,4337.023364371608,,,,,100000.0,100000.0
14,2020-01-02 00:00:00+00:00,ATOM,SELL,1826.4181556494946,4.0918169021606445,7473.368679699673,-526.6313203003274,-6.582891503754093,False,True,98353.91984656427,99473.36867969968
15,2020-01-02 00:00:00+00:00,FIL,SELL,2080.8839097044197,4.459174156188965,9279.0237521834,1279.0237521833997,15.987796902292494,True,False,98353.91984656427,100752.39243188307
16,2020-01-02 00:00:00+00:00,LTC,SELL,190.395864868862,39.82301330566406,7582.137060016108,-417.8629399838919,-5.223286749798649,False,True,98353.91984656427,100334.52949189919
17,2020-01-02 00:00:00+00:00,MATIC,BUY,537049.6088672627,0.014650999568402767,7868.313587725141,,,,,98353.91984656427,100334.52949189919
18,2020-01-02 00:00:00+00:00,VET,SELL,1490590.6127649494,0.005096999928355217,7597.540246469906,-402.4597535300936,-5.0307469191261704,False,True,98353.91984656427,99932.06973836909
19,2020-01-02 05:00:00+00:00,ADBE,BUY,23.905049649120414,334.42999267578125,7994.565579069527,,,,,99932.06973836909,99932.06973836909
20,2020-01-02 05:00:00+00:00,AMD,BUY,162.82211461336777,49.099998474121094,7994.565579069527,,,,,99932.06973836909,99932.06973836909
21,2020-01-02 05:00:00+00:00,AMZN,BUY,83.11594906416738,94.90049743652344,7887.744911098229,,,,,99932.06973836909,99932.06973836909
22,2020-01-02 05:00:00+00:00,CRM,BUY,2.390437507751384,164.98538208007812,394.3872455549118,,,,,99932.06973836909,99932.06973836909
23,2020-01-02 05:00:00+00:00,GLD,BUY,0.13698758385410595,143.9499969482422,19.71936227774562,,,,,99932.06973836909,99932.06973836909
24,2020-01-02 05:00:00+00:00,GOOGL,BUY,0.014516438626998548,67.9207992553711,0.9859681138872831,,,,,99932.06973836909,99932.06973836909
