trade_id,timestamp,symbol,action,quantity,price,value,realized_pnl,realized_pnl_pct,is_winner,is_loser,harmony_score,dominant_planet,fire_decision,ether_decision,portfolio_value_before,portfolio_value_after
1,2020-01-30 05:00:00+00:00,SHEL,BUY,2.960597014925373,42.153472900390625,124.79944603763408,,,,,0.4934328358208955,SATURN's,APPROVE,EXECUTE,100000.0,100000.0
2,2020-01-30 05:00:00+00:00,TTE,BUY,2.960597014925373,34.57040023803711,102.34902374950806,,,,,0.4934328358208955,SATURN's,APPROVE,EXECUTE,100000.0,100000.0
3,2020-01-30 05:00:00+00:00,USO,BUY,0.0027188059701492534,88.63999938964844,0.24099495953460234,,,,,0.4531343283582089,SATURN's,APPROVE,EXECUTE,100000.0,100000.0
4,2020-02-03 05:00:00+00:00,USO,SELL,0.0027188059701492534,83.91999816894531,0.22816219203664292,-0.012832767497959419,-5.324911161105374,False,True,0.4531343283582089,SATURN's,APPROVE,EXECUTE,99991.10885467238,99999.98716723251
5,2020-02-04 05:00:00+00:00,USO,BUY,0.0027188059701492534,83.5199966430664,0.22707466550001454,,,,,0.4531343283582089,SATURN's,APPROVE,EXECUTE,99992.90038720593,99999.98716723251
6,2020-02-07 00:00:00+00:00,UNI,BUY,0.0023379582089552236,0.002643000101670623,6.179223783970323e-06,,,,,0.4638805970149253,SATURN's,APPROVE,EXECUTE,99999.98716723251,99999.98716723251
7,2020-02-08 00:00:00+00:00,UNI,SELL,0.0023379582089552236,0.0023849999997764826,5.576030327835634e-06,-6.031934561346897e-07,-9.761637985978897,False,True,0.46522388059701486,SATURN's,APPROVE,EXECUTE,99999.98716662932,99999.98716662932
8,2020-02-09 00:00:00+00:00,UNI,BUY,0.0023514985074626865,0.0005019999807700515,1.1804522055270734e-06,,,,,0.46656716417910443,SATURN's,APPROVE,EXECUTE,99999.98716662932,99999.98716662932
9,2020-02-10 00:00:00+00:00,UNI,SELL,0.0023514985074626865,0.0019099999917671084,4.491362129894099e-06,3.310909924367026e-06,280.4781005842334,True,False,0.43074626865671634,SATURN's,APPROVE,EXECUTE,99999.98716994023,99999.98716994023
10,2020-02-18 05:00:00+00:00,SHEL,SELL,2.960597014925373,40.026023864746094,118.50092677329903,-6.298519264335056,-5.046912838407709,False,True,0.5140298507462686,SATURN's,APPROVE,EXECUTE,99991.17644160769,99993.68865067589
11,2020-02-19 00:00:00+00:00,ETC,BUY,0.0037461492537313426,8.879036903381348,0.033262197469455086,,,,,0.5202985074626865,SATURN's,APPROVE,EXECUTE,99993.68865067589,99993.68865067589
12,2020-02-21 00:00:00+00:00,LTC,BUY,0.005426865671641789,73.45092010498047,0.39860827686822226,,,,,0.542686567164179,SATURN's,APPROVE,EXECUTE,99993.6907269961,99993.68865067589
13,2020-02-21 00:00:00+00:00,MATIC,BUY,0.005426865671641789,0.02076300047338009,0.00011267801450926863,,,,,0.542686567164179,SATURN's,APPROVE,EXECUTE,99993.6907269961,99993.68865067589
14,2020-02-23 00:00:00+00:00,ADA,BUY,5.42686567164179,0.06151000037789345,0.33380650951346347,,,,,0.542686567164179,SATURN's,APPROVE,EXECUTE,99993.72489073347,99993.68865067589
15,2020-02-23 00:00:00+00:00,BTC,BUY,0.0005426865671641789,9924.515625,5.385901315298506,,,,,0.542686567164179,SATURN's,APPROVE,EXECUTE,99993.72489073347,99993.68865067589
16,2020-02-23 00:00:00+00:00,TRX,BUY,0.005426865671641789,0.02130500040948391,0.0001156193753565425,,,,,0.542686567164179,SATURN's,APPROVE,EXECUTE,99993.72489073347,99993.68865067589
17,2020-02-23 23:00:00+00:00,AIR,BUY,3.3474626865671633,116.2190933227539,389.03907836458563,,,,,0.5579104477611939,SATURN's,APPROVE,EXECUTE,99993.68865067589,99993.68865067589
18,2020-02-24 00:00:00+00:00,TRX,SELL,0.005426865671641789,0.01985899917781353,0.00010777212091123877,-7.847254445303729e-06,-6.787144819892577,False,True,0.4844776119402984,SATURN's,APPROVE,EXECUTE,99993.53897489194,99993.68864282864
19,2020-02-24 05:00:00+00:00,TTE,SELL,2.960597014925373,31.556148529052734,93.42503913765522,-8.923984611852845,-8.719169255286364,False,True,0.5194029850746268,SATURN's,APPROVE,EXECUTE,99984.77118335526,99984.76465821678
20,2020-02-25 00:00:00+00:00,ADA,SELL,5.42686567164179,0.05636399984359741,0.305879855867642,-0.027926653645821475,-8.366120147424837,False,True,0.4844776119402984,SATURN's,APPROVE,EXECUTE,99984.40954088511,99984.73673156313
21,2020-02-25 00:00:00+00:00,BTC,SELL,0.0005426865671641789,9341.705078125,5.069617860307834,-0.3162834549906721,-5.872433163457295,False,True,0.4844776119402984,SATURN's,APPROVE,EXECUTE,99984.40954088511,99984.42044810814
22,2020-02-25 00:00:00+00:00,MATIC,SELL,0.005426865671641789,0.019128000363707542,0.00010380508854095613,-8.872925968312503e-06,-7.874584946278616,False,True,0.4844776119402984,SATURN's,APPROVE,EXECUTE,99984.40954088511,99984.42043923521
23,2020-02-26 00:00:00+00:00,ETC,SELL,0.0037461492537313426,7.680284023284912,0.028771490262273526,-0.00449070720718156,-13.5009336388716,False,True,0.5202985074626865,SATURN's,APPROVE,EXECUTE,99984.34845670975,99984.41594852801
24,2020-02-26 00:00:00+00:00,LTC,SELL,0.005426865671641789,61.01430892944336,0.33111645860814326,-0.067491818260079,-16.931865738049247,False,True,0.4844776119402984,SATURN's,APPROVE,EXECUTE,99984.34845670975,99984.34845670975
